client_id,client_type,first_name,last_name,date_of_birth,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,Age,property_count,total_investment,average_property_price,average_floor_area,Cluster
C0001,Individual,Kareem,Liu,1968-05-11,F,USA,California,Home,4,Yes,Website,58.0,4,1246764.72,311691.18,983.885,0
C0002,Individual,Trystan,Oconnor,,M,USA,California,Home,1,No,Website,,5,1841095.9300000002,368219.18600000005,1187.942,2
C0003,Individual,Kale,Gay,1959-04-07,M,USA,California,Home,4,Yes,Agency,67.0,5,1661457.5899999999,332291.518,1058.1100000000001,2
C0004,Individual,Russell,Gross,,M,USA,California,Home,5,No,Website,,6,1608263.51,268043.91833333333,937.1033333333334,0
C0005,Corporate,Marleez,Co,,M,USA,California,Investment,5,No,Website,,13,3653385.38,281029.64461538463,927.2961538461539,3
C0006,Individual,Yurem,Wright,1957-03-06,M,USA,California,Home,3,Yes,Website,69.0,5,1514131.06,302826.212,989.5899999999999,0
C0007,Individual,Xavier,Faulkner,,M,Canada,Quebec,Investment,5,No,Website,,11,3251147.83,295558.8936363636,995.6936363636363,2
C0008,Individual,Kayden,Olsen,,F,USA,California,Home,5,No,Website,,5,1476730.4100000001,295346.08200000005,1031.106,0
C0009,Individual,Joaquin,Mullins,1975-10-05,M,USA,California,Investment,5,No,Agency,51.0,5,1820832.35,364166.47000000003,1305.644,2
C0010,Individual,Nicolas,Navarro,,M,USA,Oregon,Investment,3,No,Agency,,5,1732434.0,346486.8,1140.206,1
C0011,Individual,Laci,Guerra,,F,USA,California,Home,2,Yes,Website,,5,1325211.52,265042.304,935.914,0
C0012,Corporate,Kylax,Co,,M,USA,California,Investment,5,No,Website,,4,1599526.4,399881.6,1317.445,3
C0013,Individual,Harley,Lucero,1962-08-10,M,USA,California,Home,1,Yes,Website,64.0,5,2142750.89,428550.178,1407.376,2
C0014,Corporate,Esther,Co,1980-07-10,M,USA,California,Home,3,Yes,Website,46.0,4,1548140.0699999998,387035.01749999996,1280.5425,3
C0015,Individual,Jaylynn,Hickman,,F,USA,California,Home,5,No,Client,,5,1585907.37,317181.47400000005,1030.764,0
C0016,Individual,Olivia,Oconnell,1939-09-03,F,USA,California,Investment,5,No,Website,87.0,4,1010217.73,252554.4325,842.145,1
C0017,Individual,Antonio,Porter,1977-01-08,M,USA,Arizona,Home,3,No,Client,49.0,5,1778693.75,355738.75,1195.8139999999999,2
C0018,Individual,Luke,Lynn,1967-02-07,M,USA,California,Home,2,Yes,Agency,59.0,4,1061478.67,265369.6675,913.8325,0
C0019,Individual,Anahi,Curry,1957-09-09,M,USA,California,Home,5,Yes,Client,69.0,4,1773474.26,443368.565,1402.0425,2
